Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average
1853,5.55,2.5,4.15,8.55,11.45,15.4,16.7,15.5,12.85,10.65,5.5,2.5,9.275
1854,4.1,4.3,6.7,9.25,10.95,14.15,16.65,15.8,14.3,9.75,5.1,5.2,9.6875
1855,2.4,3.1,3.9,7.85,9.95,14.35,18.1,16.95,14.7,11.1,5.65,2.9,9.245833333
1856,4.4,5.6,4.25,8.5,9.85,14.85,16.75,17.6,12.65,10.4,5.2,4.35,9.533333333
1857,2.85,4,5.45,7.8,11.4,16.3,17.35,18,15.1,11.2,7.35,7.05,10.32083333
1858,3.25,2.95,5.25,8.55,11.05,17.75,15.7,16.35,15.35,10.15,4.1,4.8,9.604166667
1859,4.65,6.05,7.95,7.9,11.65,15.9,19.4,17.15,13.4,10.15,5,3.05,10.1875
1860,3.8,3.4,5.15,6.15,12.35,13.25,14.8,14.4,11.3,10.35,4.75,,9.063636364
1861,2.25,5.5,6.75,7.4,11.3,15.6,15.85,17.15,13.9,12.85,5,4.25,9.816666667
1862,4.4,5.35,6.65,9.55,13.4,13.85,15.25,15.25,14.05,11.05,3.55,6.5,9.904166667
1863,5.1,5.9,6.35,9.45,11.2,14.45,15.65,16.55,11.7,10.55,7.45,6.2,10.04583333
1864,2.5,2.75,5.5,9.25,13.05,14.8,16.55,14.9,13.85,10.2,5.45,3.45,9.354166667
1865,2.8,2.6,3.1,11.3,13.25,16.35,17.4,15.4,16.6,10.35,7.15,5.9,10.18333333
1866,6,4.6,5.1,9.15,10.25,16.5,16.45,15.55,13.65,11.1,7.2,6.25,10.15
1867,2.85,7.25,3.25,10.3,11.8,14.8,15.4,16.65,14,9.9,5,3.15,9.529166667
1868,3.8,6.55,7,9.35,14.1,16.5,19.25,17.3,14.55,8.85,5.25,7.8,10.85833333
1869,5.6,7.8,4.1,11,11,13.85,18.25,16.1,15.15,10,6.6,3.3,10.22916667
1870,3.6,2.95,4.9,9.65,12.15,16.75,18.95,16,13.25,10.4,5.2,2.75,9.7125
1871,1.95,6.4,7.55,9.55,11.4,13.25,16.5,17.9,13.75,10.05,3.3,3.45,9.5875
1872,5.25,7.4,7.4,9.2,10.55,15.3,18.3,16.15,14.15,8.9,7.35,5.7,10.47083333
1873,5.5,2.15,5.95,8.35,10.75,15.15,17.2,17.1,12.35,8.8,6.7,4.7,9.558333333
1874,5.8,4.05,7.05,10.55,10.85,14.7,18.55,16.2,14.5,11.25,5.6,2.9,10.16666667
1875,7.1,2.45,5.5,8.45,13.05,15.55,15.5,17.35,15.75,9.5,6,4.3,10.04166667
1876,3.05,5.55,5.25,8.9,10.05,15.4,18.8,17.85,13.6,11.8,6.9,6.85,10.33333333
1877,6.25,6.7,5.6,8.2,10,16.35,16.1,16.2,11.75,9.45,7.55,5.05,9.933333333
1878,5.05,6.5,5.85,9.8,13.05,16.1,17.4,17.4,13.75,10.75,4.6,2.55,10.23333333
1879,2.2,3.55,4.85,5.95,9.05,13.6,14.45,15.25,13.05,9.1,3.8,3.45,8.191666667
1880,2.75,5.7,7.1,8.45,11.15,13.95,15.95,16.85,15.65,8.55,6.45,6.45,9.916666667
1881,2.9,3.9,6.2,8,12.3,14.75,17.6,15,13.55,8.05,9.7,4.6,9.7125
1882,5.25,6.35,8.3,9.4,12.35,13.6,15.95,15.7,12.8,10.4,6.55,4.85,10.125
1883,5.75,6.95,4.2,9.25,11.65,14.85,15,16.4,13.95,10.6,6.8,5,10.03333333
1884,7.3,6,6.95,7.4,12.1,14.7,16.95,17.95,15.3,9.9,5.7,5.1,10.44583333
1885,2.95,6.8,5.3,8.3,9.5,14.8,17.3,14.4,12.85,8,6.2,3.85,9.1875
1886,2.55,2.2,4.65,8.35,11.35,14.05,16.9,16.6,14.65,11.9,6.65,2.9,9.395833333
1887,2.6,4,3.7,6.75,10.25,15.9,18.2,16.35,12.2,7.5,5,3,8.7875
1888,3.15,2.4,3.9,6.7,11.3,13.95,14.45,14.75,13.2,8.35,8.25,5.05,8.7875
1889,2.6,3.1,5.2,7.35,13.1,15.75,15.65,15.2,13.3,9.1,6.9,2.85,9.175
